iter	Passed	Remaining
976	12703	26303
977	12716	26290
978	12728	26276
979	12740	26261
980	12754	26250
981	12771	26246
982	12784	26232
983	12825	26276
984	12838	26263
985	12850	26247
986	12861	26230
987	12889	26248
988	12901	26233
989	12914	26220
990	12925	26203
991	12938	26190
992	12951	26176
993	12963	26161
994	12989	26174
995	13000	26157
996	13011	26141
997	13022	26123
998	13032	26104
999	13043	26086
1000	13053	26068
1001	13065	26052
1002	13076	26036
1003	13087	26017
1004	13098	26001
1005	13111	25989
1006	13122	25971
1007	13134	25955
1008	13144	25937
1009	13154	25918
1010	13165	25900
1011	13175	25882
1012	13187	25866
1013	13203	25860
1014	13235	25884
1015	13280	25932
1016	13302	25938
1017	13320	25933
1018	13333	25921
1019	13345	25905
1020	13356	25888
1021	13366	25870
1022	13377	25852
1023	13387	25834
1024	13398	25816
1025	13410	25801
1026	13421	25783
1027	13431	25765
1028	13442	25748
1029	13452	25730
1030	13466	25718
1031	13483	25713
1032	13504	25714
1033	13526	25718
1034	13546	25718
1035	13575	25736
1036	13596	25737
1037	13615	25735
1038	13640	25744
1039	13660	25744
1040	13697	25775
1041	13718	25778
1042	13731	25763
1043	13768	25796
1044	13779	25779
1045	13795	25770
1046	13813	25766
1047	13834	25769
1048	13848	25757
1049	13864	25748
1050	13878	25737
1051	13891	25722
1052	13903	25708
1053	13915	25692
1054	13927	25676
1055	13940	25662
1056	13951	25645
1057	13962	25628
1058	13973	25610
1059	13983	25593
1060	13994	25575
1061	14005	25558
1062	14016	25540
1063	14027	25522
1064	14038	25505
1065	14048	25488
1066	14059	25469
1067	14069	25452
1068	14080	25434
1069	14091	25416
1070	14101	25399
1071	14112	25381
1072	14123	25363
1073	14133	25345
1074	14143	25327
1075	14154	25310
1076	14165	25292
1077	14175	25273
1078	14185	25255
1079	14197	25239
1080	14207	25221
1081	14218	25204
1082	14229	25186
1083	14239	25168
1084	14249	25150
1085	14260	25132
1086	14270	25114
1087	14281	25097
1088	14291	25079
1089	14301	25060
1090	14312	25043
1091	14322	25024
1092	14332	25006
1093	14342	24988
1094	14353	24970
1095	14363	24952
1096	14373	24934
1097	14383	24916
1098	14396	24901
1099	14406	24883
1100	14416	24865
1101	14427	24848
1102	14437	24830
1103	14448	24814
1104	14459	24796
1105	14469	24779
1106	14492	24783
1107	14503	24766
1108	14516	24753
1109	14528	24737
1110	14554	24745
1111	14565	24729
1112	14578	24716
1113	14590	24701
1114	14601	24685
1115	14613	24670
1116	14625	24656
1117	14636	24638
1118	14647	24621
1119	14658	24605
1120	14668	24587
1121	14680	24571
1122	14691	24555
1123	14701	24537
1124	14712	24520
1125	14723	24504
1126	14733	24486
1127	14745	24470
1128	14755	24453
1129	14765	24435
1130	14776	24418
1131	14787	24401
1132	14797	24384
1133	14809	24368
1134	14819	24351
1135	14830	24333
1136	14841	24317
1137	14851	24300
1138	14862	24283
1139	14872	24266
1140	14883	24248
1141	14893	24231
1142	14904	24214
1143	14915	24198
1144	14927	24184
1145	14941	24172
1146	14954	24158
1147	14970	24151
1148	14982	24136
1149	14994	24120
1150	15005	24104
1151	15015	24087
1152	15026	24070
1153	15036	24053
1154	15047	24036
1155	15058	24021
1156	15069	24003
1157	15079	23986
1158	15090	23969
1159	15100	23952
1160	15110	23934
1161	15120	23917
1162	15130	23899
1163	15141	23882
1164	15151	23864
1165	15161	23847
1166	15171	23830
1167	15182	23813
1168	15193	23797
1169	15203	23780
1170	15215	23764
1171	15226	23748
1172	15241	23739
1173	15253	23724
1174	15264	23708
1175	15275	23692
1176	15286	23677
1177	15298	23661
1178	15312	23649
1179	15323	23634
1180	15334	23618
1181	15346	23603
1182	15357	23587
1183	15368	23572
1184	15390	23573
1185	15401	23557
1186	15413	23541
1187	15424	23526
1188	15435	23510
1189	15446	23494
1190	15458	23479
1191	15469	23463
1192	15480	23448
1193	15491	23432
1194	15502	23415
1195	15513	23399
1196	15523	23382
1197	15534	23366
1198	15544	23349
1199	15555	23332
1200	15566	23317
1201	15577	23301
1202	15588	23285
1203	15612	23288
1204	15636	23292
1205	15649	23279
1206	15663	23267
1207	15676	23255
1208	15689	23241
1209	15701	23228
1210	15713	23213
1211	15725	23199
1212	15737	23184
1213	15748	23168
1214	15760	23153
1215	15771	23138
1216	15783	23123
1217	15794	23108
1218	15806	23094
1219	15818	23078
1220	15829	23063
1221	15839	23046
1222	15850	23030
1223	15860	23013
1224	15871	22996
1225	15912	23025
1226	15923	23009
1227	15934	22992
1228	15960	22998
1229	15971	22983
1230	15982	22967
1231	15994	22952
1232	16005	22936
1233	16016	22920
1234	16027	22906
1235	16039	22891
1236	16050	22875
1237	16062	22860
1238	16074	22846
1239	16102	22854
1240	16114	22840
1241	16127	22827
1242	16139	22813
1243	16151	22799
1244	16163	22785
1245	16182	22780
1246	16203	22778
1247	16235	22792
1248	16262	22798
1249	16297	22816
1250	16325	22824
1251	16351	22829
1252	16395	22859
1253	16426	22871
1254	16454	22878
1255	16476	22878
1256	16501	22881
1257	16524	22881
1258	16541	22874
1259	16554	22860
1260	16566	22845
1261	16582	22836
1262	16609	22843
1263	16634	22845
1264	16655	22843
1265	16676	22841
1266	16704	22848
1267	16727	22848
1268	16749	22847
1269	16767	22840
1270	16787	22836
1271	16805	22829
1272	16823	22823
1273	16842	22818
1274	16862	22813
1275	16881	22808
1276	16895	22796
1277	16909	22784
1278	16922	22770
1279	16950	22777
1280	16965	22766
1281	16979	22753
1282	16990	22738
1283	17002	22722
1284	17013	22707
1285	17028	22695
1286	17042	22683
1287	17057	22673
1288	17075	22665
1289	17092	22657
